episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
106, 1852.1752659082413, 1, 12.772647522000625, 370, 69400,                                             69400, 13.34084701538086, 301.6401672363281
107, -6522.34187400341, 2, 20.458382865999738, 602, 70002,                                             70002, 12.76000690460205, 303.52398681640625
108, -2185.9530330896378, 1, 30.845701750000444, 908, 70910,                                             70910, 12.981456756591797, 304.8997802734375
109, -3772.054857969284, 2, 5.741025121000348, 168, 71078,                                             71078, 12.953397750854492, 308.12176513671875
110, 1643.9343358278275, 1, 16.834262466998553, 494, 71572,                                             71572, 13.381677627563477, 305.9748229980469
111, -2898.4213250875473, 2, 7.511516610999024, 215, 71787,                                             71787, 14.627693176269531, 306.6007995605469
112, -3363.2461614608765, 2, 8.400653852000687, 241, 72028,                                             72028, 13.865111351013184, 306.0207214355469
113, 2005.3268148303032, 1, 8.597196946999247, 244, 72272,                                             72272, 14.304831504821777, 305.0794982910156
114, 1709.8257909417152, 1, 13.367540097000528, 390, 72662,                                             72662, 13.748571395874023, 306.8019104003906
115, -3564.5470291376114, 2, 7.537655613999959, 219, 72881,                                             72881, 13.994416236877441, 307.09442138671875
116, -3338.1884272694588, 3, 15.586199180999756, 451, 73332,                                             73332, 13.852185249328613, 307.9013671875
117, 610.5685358643532, 1, 18.46425363200069, 546, 73878,                                             73878, 13.595560073852539, 307.7592468261719
118, 1248.9835840165615, 1, 18.17387772800066, 529, 74407,                                             74407, 14.151801109313965, 307.6336975097656
119, -133.87168875336647, 1, 38.13487272199927, 1132, 75539,                                             75539, 13.81326675415039, 305.9493713378906
120, -4493.401318013668, 3, 15.65884000799997, 462, 76001,                                             76001, 14.060908317565918, 306.7444763183594
121, 2045.3931220769882, 1, 8.98836578999908, 258, 76259,                                             76259, 13.298540115356445, 306.6591491699219
122, -3472.9091903567314, 3, 13.427788461000091, 395, 76654,                                             76654, 13.765871047973633, 306.8750305175781
123, -8685.18239724636, 2, 41.720211920999645, 1242, 77896,                                             77896, 13.765564918518066, 305.865478515625
124, 2076.2790845036507, 1, 10.60192413599907, 308, 78204,                                             78204, 13.96789264678955, 307.5755615234375
125, -15079.005541563034, 2, 29.46445640500133, 859, 79063,                                             79063, 14.194762229919434, 309.20147705078125
126, 1653.4741531908512, 1, 19.21045067200066, 564, 79627,                                             79627, 14.345311164855957, 311.6692810058594
127, -987.8849473297596, 1, 26.097310395000022, 771, 80398,                                             80398, 14.096402168273926, 312.6064147949219
128, -9153.596966564655, 2, 20.60565127600057, 608, 81006,                                             81006, 13.891429901123047, 310.7491149902344
129, 1410.922010242939, 1, 12.027916156001083, 350, 81356,                                             81356, 13.844717979431152, 313.55059814453125
130, -7155.522606134415, 2, 19.454908166999303, 563, 81919,                                             81919, 14.443700790405273, 313.12750244140625
131, -2920.0112008452415, 3, 10.945203245000812, 313, 82232,                                             82232, 14.313478469848633, 314.48974609375
132, 2290.24150544405, 1, 4.959690380999746, 144, 82376,                                             82376, 13.691242218017578, 315.8586120605469
133, -3228.7045253515244, 2, 3.9199632389991166, 109, 82485,                                             82485, 15.421976089477539, 313.5419616699219
134, -8487.78340780735, 2, 18.03046329100107, 531, 83016,                                             83016, 14.20910358428955, 314.55181884765625
135, 1840.5827867388725, 1, 11.813218398998288, 342, 83358,                                             83358, 14.183484077453613, 319.46417236328125
136, -7256.282004952431, 2, 16.76882902199941, 489, 83847,                                             83847, 14.615396499633789, 315.46527099609375
137, 1816.6170210838318, 1, 12.377936193001005, 358, 84205,                                             84205, 13.86029052734375, 319.944091796875
138, -3686.745021522045, 2, 22.657738858999437, 668, 84873,                                             84873, 14.716302871704102, 316.9869384765625
139, -5618.92044878006, 1, 35.11672478199944, 1038, 85911,                                             85911, 14.802719116210938, 318.09661865234375
140, -42.92642289400101, 1, 22.815232660999754, 658, 86569,                                             86569, 14.677924156188965, 319.2984313964844
141, -3060.610049366951, 2, 4.735738678999041, 131, 86700,                                             86700, 15.564237594604492, 320.2420349121094
142, -4003.9828838706017, 2, 13.210480256000665, 390, 87090,                                             87090, 15.283782005310059, 319.6039123535156
143, -4462.824490189552, 2, 17.379333687000326, 512, 87602,                                             87602, 14.476971626281738, 321.1863098144531
144, 2343.510688662529, 1, 5.130946444000074, 142, 87744,                                             87744, 15.218660354614258, 323.7494812011719
145, 1361.9560987949371, 1, 15.649783729000774, 457, 88201,                                             88201, 15.447592735290527, 321.6181335449219
146, -697.2703731060028, 1, 28.281795164999494, 832, 89033,                                             89033, 15.07733154296875, 321.1332702636719
147, -928.628193795681, 1, 24.796785595000983, 726, 89759,                                             89759, 14.902458190917969, 321.01397705078125
148, 1098.4032844901085, 1, 16.249276981001458, 460, 90219,                                             90219, 15.259212493896484, 318.3301086425781
149, -2873.5240802764893, 3, 1.1436189570013084, 30, 90249,                                             90249, 15.580368041992188, 315.03741455078125
150, 2341.6287492513657, 1, 4.91721432399936, 140, 90389,                                             90389, 15.356300354003906, 317.8562927246094
151, -206.19422501325607, 1, 25.247819491998598, 741, 91130,                                             91130, 15.298718452453613, 320.24456787109375
152, -3676.226423382759, 2, 11.211910861000433, 320, 91450,                                             91450, 14.554544448852539, 319.75244140625
153, 2353.7804358005524, 1, 4.768033916001514, 138, 91588,                                             91588, 14.099510192871094, 319.20208740234375
154, -7400.272387593985, 1, 48.14361024699974, 1424, 93012,                                             93012, 15.19904613494873, 320.79833984375
155, -5000.075409531593, 2, 7.195244268999886, 210, 93222,                                             93222, 14.876670837402344, 319.53009033203125
156, 2012.321387141943, 1, 8.995113692999439, 255, 93477,                                             93477, 15.563101768493652, 319.1509704589844
157, 530.6623730361462, 1, 14.360091819000445, 417, 93894,                                             93894, 16.30820655822754, 320.5514831542969
158, -391.59959948062897, 1, 28.908583473001272, 845, 94739,                                             94739, 15.189984321594238, 318.3606872558594
159, -2162.3087698966265, 1, 27.644222347000323, 809, 95548,                                             95548, 15.671846389770508, 319.8065185546875
160, -3533.772297978401, 2, 10.759050737000507, 307, 95855,                                             95855, 15.648890495300293, 317.4645080566406
161, -7475.2060765028, 2, 22.426007248999667, 654, 96509,                                             96509, 15.331523895263672, 320.6202697753906
162, 1575.9489359855652, 1, 15.836325573998693, 460, 96969,                                             96969, 15.660225868225098, 323.6347351074219
